Displacement Into Surface,Load On Sample,Harmonic Contact Stiffness,Harmonic Displacement,Harmonic Load
nm,mN,N/m,nm,uN
1.198188407,0.031104462,19842.19538,1.438055647,29.21629637
1.277485539,0.031441306,19785.21447,1.447660144,29.37277316
1.437553536,0.031772625,19735.88654,1.457701208,29.53581555
1.013073613,0.032143936,19754.11023,1.463376606,29.70979985
1.377150501,0.032461297,19795.81389,1.471234825,29.96804158
1.168337119,0.032817852,19825.1079,1.476037079,30.12889519
1.278443756,0.033152589,19911.92944,1.47778335,30.3083512
1.130416696,0.033504986,19981.06493,1.480402762,30.48452422
1.720985082,0.03380685,20031.12897,1.48738784,30.73620079
0.918464199,0.034204026,20045.54374,1.490880406,30.8357761
1.320844796,0.034518766,20061.63348,1.501794601,31.08088701
1.216117582,0.0348682,20055.31212,1.509216262,31.21766731
1.331220355,0.035202595,19985.79944,1.520567033,31.35007087
1.472136498,0.035535223,19807.68039,1.542395437,31.51858449
1.57474893,0.035870472,19757.47656,1.553309641,31.6400456
1.525811902,0.036216089,19735.13095,1.56291414,31.7626008
2.282918151,0.036506558,19738.73065,1.570772349,31.87968565
1.293042174,0.036916551,19997.7904,1.567716398,32.10619294
1.976871764,0.037212034,20267.18464,1.559421585,32.26923594
1.753069977,0.037569614,20628.02564,1.546324543,32.46619949
2.14046216,0.037885378,21126.33441,1.525369261,32.68504859
2.057384871,0.03823333,21768.24272,1.496992329,32.92359354
2.146674273,0.038569489,23077.58066,1.439365327,33.34378308
1.796303707,0.038935729,24201.16277,1.39221597,33.66549022
1.833966371,0.03927542,25334.3964,1.347686015,33.98282082
1.8274965,0.039618131,26609.78041,1.300973217,34.33297868
2.166592702,0.039937199,28580.2657,1.235487981,34.87462952
1.553092305,0.040321442,29825.96157,1.198379697,35.23463484
1.492497627,0.040667857,30932.01879,1.168693064,35.58479263
1.742496072,0.040993021,31882.33896,1.146428078,35.93932776
1.770166464,0.041333397,32576.70073,1.133767601,36.29386274
1.721229437,0.041679013,32787.71581,1.138569852,36.69982684
2.030348824,0.042000133,32650.83045,1.149920619,36.93837227
1.071282347,0.042408019,32263.4386,1.169129639,37.15065426
1.967864066,0.042688946,31213.73311,1.214532713,37.41436804
1.189491176,0.043084469,30354.63783,1.252077596,37.5522417
2.297575984,0.043350926,29299.87705,1.299226934,37.66166745
2.121237489,0.043705258,28347.32787,1.344193462,37.75030091
2.202199998,0.044041987,27098.89689,1.408805552,37.88161022
2.232368458,0.04438219,26759.77717,1.428451121,37.94507638
2.529413847,0.044704135,26162.92779,1.468178818,38.14204057
2.184455764,0.045070003,26009.15504,1.482149009,38.2864802
2.540205751,0.045387931,25948.15767,1.490880364,38.4320151
2.228138896,0.045751549,25941.03919,1.496992327,38.59177416
2.439833629,0.046079333,26422.54064,1.482149003,38.90472806
