Time On Sample,Displacement Into Surface,Load On Sample,Harmonic Contact Stiffness,Harmonic Displacement,Harmonic Load
3.7,1.072812895,0.01386248,56796.80027,0.173005604,9.623678152
3.8,1.172571359,0.014231779,58281.03674,0.174312953,9.937529344
3.9,1.290200421,0.014599729,59997.62962,0.175620301,10.30150953
4,1.035456131,0.014995795,64151.10165,0.177363428,11.12100959
4.1,1.15765674,0.0153634,65630.71443,0.180849689,11.60050443
4.2,1.098242221,0.015744717,65748.89503,0.187822206,12.0691016
4.3,1.126518302,0.016119414,66343.7722,0.196973637,12.77199732
4.4,1.248303316,0.01648705,65995.66364,0.208739763,13.46508537
4.5,0.977350811,0.016884339,65351.65507,0.217891189,13.91951545
4.6,0.801154027,0.017274475,62806.59065,0.237501394,14.58208997
4.7,1.251674888,0.01761729,61326.26205,0.250574872,15.01908435
4.8,1.053867147,0.018009057,58663.79891,0.273235553,15.65986365
4.9,1.160275137,0.018377854,56498.2118,0.295896239,16.32897691
5,1.054729544,0.018762655,54786.00726,0.316378009,16.92834528
5.1,1.209346584,0.019127812,53507.57783,0.334680873,17.48957228
5.2,1.204375044,0.019505018,51890.12473,0.362135163,18.357022
5.3,1.043970877,0.019893961,50434.80138,0.383924279,18.92587695
5.4,1.125443151,0.020264641,48488.41095,0.416172177,19.74537722
5.5,0.811268741,0.020665194,47356.59653,0.437525506,20.29461643
5.6,0.768893628,0.021045225,46589.77353,0.455392582,20.81116307
5.7,0.582722559,0.021436114,44869.32827,0.489383602,21.58380321
5.8,0.818796264,0.021795121,43500.14292,0.516402117,22.11778644
5.9,0.626806861,0.022186449,41912.20833,0.548214224,22.66048703
6,1.150472486,0.022523741,40296.02304,0.583512616,23.24568927
6.1,0.416546873,0.022955987,37683.92353,0.640164296,23.93332751
6.2,0.532929144,0.023324032,35892.9685,0.683306756,24.39538629
6.3,0.291899506,0.023719063,34297.24671,0.724706071,24.77680225
6.4,0.867098932,0.024052464,31564.40052,0.801403797,25.31841418
6.5,0.966857397,0.024421764,29762.62322,0.857183948,25.62027795
6.6,1.164696345,0.024783657,28009.33326,0.917321929,25.87855165
6.7,1.051670037,0.025169023,25625.88672,1.011450918,26.24035205
6.8,0.945293253,0.025553886,24305.24619,1.070717316,26.45830418
6.9,0.687639798,0.025950171,22943.83514,1.13695622,26.66644811
7,1.045067322,0.026300015,21784.98223,1.19970891,26.85279781
7.1,0.824817438,0.026693477,20872.22108,1.253310127,27.00536388
7.2,1.058397577,0.027052672,20049.23539,1.304296686,27.12523805
7.3,0.875551266,0.027443309,18983.60069,1.376636547,27.30504827
7.4,1.195575222,0.027795977,18433.41018,1.417164338,27.4292815
7.5,1.006910575,0.028187053,18050.50973,1.447669089,27.56114228
7.6,1.29036215,0.028542483,17702.05498,1.476430755,27.70063215
7.7,1.001123448,0.028941153,17257.75028,1.514779578,27.90550666
7.8,1.330290503,0.02929313,17007.44012,1.539619208,28.03082981
7.9,1.169886332,0.029682072,16824.38068,1.561408312,28.17903693
8,1.278787896,0.030050681,16707.55318,1.577968055,28.32288565
8.1,1.280465881,0.030427385,16640.8167,1.591477316,28.45365691
8.2,1.586359608,0.03078112,16602.70001,1.602807686,28.5768003
8.3,1.630428311,0.031154623,16576.20123,1.61893164,28.77077787
8.4,1.967076097,0.031506035,16562.18356,1.630697802,28.89065207
8.5,2.169902204,0.031867551,16589.24063,1.639413476,29.01597482
8.6,1.78757014,0.032273249,16712.68322,1.641156561,29.16418179
8.7,2.164115078,0.032621648,17050.22811,1.633748304,29.42463513
8.8,2.169949017,0.032998038,17396.90028,1.619367482,29.6371386
8.9,2.069390559,0.033382461,17918.77858,1.594527878,29.91284792
9,2.352842157,0.033737889,18577.81281,1.561408438,30.21253267
9.1,2.143397731,0.034130533,19332.52752,1.522623791,30.52093472
9.2,2.258117637,0.034498701,20253.01882,1.477302424,30.86747889
9.3,2.328784443,0.034870195,21408.73854,1.423265415,31.26197247
9.4,2.466777689,0.035236606,23615.18344,1.329572201,31.94089377
9.5,1.685474136,0.035672427,25156.11709,1.272484642,32.38987409
9.6,2.262336008,0.036005702,26626.88825,1.22454862,32.82904866
9.7,2.033774198,0.036399789,28995.82929,1.156566547,33.53412364
9.8,2.137688627,0.036768774,30305.52271,1.124754436,33.96022035
9.9,1.248330317,0.037212754,31520.7977,1.100350562,34.43099563
10,1.631524769,0.037560652,32210.06248,1.091634935,34.84619519
10.1,0.983211741,0.037986434,32236.00453,1.101222111,35.1644043
10.2,1.835197668,0.038298935,31752.35121,1.125190197,35.42921766
10.3,1.097116052,0.038731494,30080.13467,1.191429077,35.7027464
10.4,1.447062879,0.039081903,28578.52265,1.251567069,35.79319717
10.5,1.534353492,0.039452142,25981.08459,1.365742075,35.8248004
10.6,1.663203634,0.039819244,24671.90698,1.430237875,35.79755662
10.7,1.572619466,0.040202914,22940.81161,1.523931096,35.69729847
